МоАбу-Даби	24.47, 54.37
Абуджа	9.06, 7.5
Аддис-Абеба	9.02, 38.75
Аккра	5.56, -0.2
Алжир	36.73, 3.09
Амман	31.96, 35.95
Амстердам	52.37, 4.89
Андорра-ла-Велья	42.51, 1.52
Анкара	39.92, 32.85
Антананариву	-18.91, 47.54
Апиа	-13.83, -171.77
Асмэра	15.34, 38.93
Астана	51.18, 71.45
Асунсьон	-25.29, -57.65
Афины	37.98, 23.73
Ашхабад	37.95, 58.38
Багдад	33.34, 44.4
Баку	40.38, 49.89
Бамако	12.65, -8
Банги	4.36, 18.56
Бангкок	13.75, 100.5
Бандар-Сери-Бегаван	4.89, 114.94
Банжул	13.45, -16.58
Бастер	17.3, -62.73
Бейрут	33.89, 35.5
Белград	44.8, 20.47
Бельмопан	17.25, -88.77
Берлин	52.52, 13.41
Берн	46.95, 7.45
Бисау	11.86, -15.6
Бишкек	42.87, 74.59
Богота	4.61, -74.08
Браззавиль	-4.27, 15.28
Бразилия	-15.78, -47.93
Братислава	48.15, 17.11
Бриджтаун	13.11, -59.62
Брюссель	50.85, 4.35
Будапешт	47.5, 19.04
Бужумбура	-3.38, 29.36
Бухарест	44.43, 26.11
Буэнос-Айрес	-34.61, -58.38
Вадуц	47.14, 9.52
Валлетта	35.9, 14.51
Варшава	52.23, 21.01
Ватикан	41.9, 12.45
Вашингтон	38.9, -77.04
Веллингтон	-41.29, 174.78
Вена	48.21, 16.37
Виктория	-4.62, 55.46
Вильнюс	54.69, 25.28
Виндхук	-22.56, 17.08
Вьентьян	17.97, 102.6
Габороне	-24.65, 25.91
Гавана	23.13, -82.38
Гватемала	14.64, -90.51
Дакар	14.69, -17.44
Дакка	23.71, 90.41
Дамаск	33.51, 36.29
Джакарта	-6.21, 106.85
Джибути	11.59, 43.15
Джорджтаун	6.8, -58.16
Джуба	4.85, 31.58
Дили	-8.56, 125.57
Додома	-6.17, 35.74
Доха	25.29, 51.53
Дублин	53.33, -6.25
Душанбе	38.54, 68.78
Ереван	40.18, 44.51
Загреб	45.81, 15.98
Исламабад	33.72, 73.04
Кабул	34.53, 69.17
Каир	30.06, 31.25
Кампала	0.32, 32.58
Канберра	-35.28, 149.13
Каракас	10.49, -66.88
Кастри	14, -61.01
Катманду	27.7, 85.32
Кигали	-1.95, 30.06
Киев	50.45, 30.52
Кингстаун	13.16, -61.23
Кингстон	18, -76.79
Киншаса	-4.33, 15.31
Кито	-0.23, -78.52
Кишинёв	47.01, 28.86
Коломбо	6.93, 79.85
